excuse	[iks'kju:z]	v.原谅
me	[mi:]	pron.我(宾格)
yes	[jes]	ad.是的
is	[iz]	v. be动词现在时第三人称单数
this	[θis]	pron.这
your	[jɒ:]	possessive adjective你的，你们的
handbag	['hændbæg]	n. (女用) 手提包
pardon	['pa:dn]	int.原谅，请再说一遍
it	[it]	pron.它
thank you		感谢你(们)
very much		非常地
pen	[pen]	n.钢笔
pencil	['pensl]	n.铅笔
book	[buk]	n.书
watch	[wɒtʃ]	n.手表
coat	[kəʊt]	n.上衣，外衣
dress	[dres]	n.连衣裙
skirt	[skз:t]	n.裙子
shirt	[ʃз:t]	n.衬衣
car	[ka:]	n.小汽车
house	[haus]	n.房子
umbrella	[ʌm'brelə]	n.伞
please	[pli:z]	int.请
here	[hıə]	ad.这里
my	[mai]	possessive adjective 我的
ticket	['tikit]	n.票
number	['nʌmbə]	n.号码
five	[faiv]	num. 五
sorry	['sɒri]	a.对不起的
sir	[sз:]	n.先生
cloakroom	['kləʊkru:m]	n.衣帽存放处
suit	[sju:t]	n.一套衣服
school	[sku:l]	n.学校
teacher	['ti:tʃə]	n.老师
son	[sʌn]	n.儿子
daughter	['dɒ:tə]	n.女儿
Mr.	['mistə]	先生
good	[gud]	a.好
morning	['mɒ:nıŋ]	n.早晨
Miss	[mis]	小姐
new	[nju:]	a.新的
student	['stju:dənt]	n.学生
French	[frentʃ]	a. & n.法国人
German	['dʒз:mən]	a. & n.德国人
nice	['nais]	a.美好的
meet	[mi:t]	v.遇见
Japanese	[dʒæpə'ni:z]	a. & n.日本人(的)
Korean	[kə'rıən]	a. & n.韩国人(的)
Chinese	['tʃai'ni:z]	a. & n.中国人(的)；汉语(的)
too	[tu:]	ad.也
make	[meik]	n. (产品的) 牌号
Swedish	['swi:diʃ]	a.瑞典的
English	['ıŋgliʃ]	a.英国的
American	[ə'merikən]	a.美国的
Italian	[i'tæljən]	a.意大利的
Volvo	['vɒlvə]	n.沃尔沃
Peugeot		n.标致
Mercedes		n.梅赛德斯
Toyota		n.丰田
Daewoo		n.大宇
Mini	['mini]	n.迷你
Ford	[fɒ:d]	n.福特
Fiat	['faiæt]	n.菲亚特
I		pron.我
am	[æm, əm]	v. be动词现在时第一人称单数
are	[a:]	v. be动词现在时复数
name	['neim]	n.名字
what	[wɒt]	a. & pron.什么
nationality	['næʃə'næliti]	n.国籍
job	[dʒɒb]	n.工作
keyboard	['kibɒ:d]	n.电脑键盘
operator	['ɒpəreitə]	n.操作人员
engineer	['endʒi'nıə]	n.工程师
policeman	[pə'li:smən]	n.警察
policewoman	[pə'li:s,wumən]	n.女警察
taxi driver		出租汽车司机
air hostess		空中小姐
postman	['pəʊstmən]	n.邮递员
nurse	[nз:s]	n.护士
mechanic	[mi'kænik]	n.机械师
hairdresser	['heədresə]	n.理发师
housewife	['hauswaif]	n.家庭妇女
milkman		n.送牛奶的人
hello	[he'ləʊ]	int.喂(表示问候)
hi	[hai]	int.喂，嗨
how	[hau]	ad.怎样
today	[tə'dei]	ad.今天
well	[wel]	a.身体好
fine	[fain]	a.美好的
thanks		int.谢谢
goodbye	[`gud'bai]	int.再见
see	[si:]	v.见
fat	[fæt]	a.胖的
woman	['wumən]	n.女人
thin	[ðin]	a.瘦的
tall	[tɒ:l]	a.高的
short	[ʃɒ:t]	a.矮的
dirty	['dз:ti]	a.脏的
clean	[kli:n]	a.干净的；
hot	[hɒt]	a.热的
cold	[kəʊld]	a.冷的
old	[əʊld]	a.老的
young	[jʌŋ]	a.年轻的
busy	['bizi]	a.忙的
lazy	['leizi]	a.懒的
whose	[hu:z]	pron.谁的
blue	[blu:]	a.蓝色的
perhaps	[pə'hæps]	ad.大概
white	[wait]	a.白色的
catch	[kætʃ]	v.抓住
father	['fa:θə]	n.父亲
mother	['mʌθə]	n.母亲
blouse	[blauz]	n.女衬衫
sister	[sistə]	n.姐，妹
tie	[tai]	n.领带；联系，关系；vt.扎，束紧
brother	['brʌθə]	n.兄，弟
his	[his]	possessive adjective 他的
her	[hз:, hə]	possessive adjective她的
colour	['kʌlə]	n.颜色
green	[gri:n]	a.绿色
come	[kʌm]	v.来
upstairs	[ʌp'stAəz]	ad.楼上
smart	[sma:t]	a.时髦的，巧妙的
hat	[hæt]	n.帽子
same	[seim]	a.相同的
lovely	['lʌvli]	a.可爱的，秀丽的
case	[keis]	n.箱子
carpet	['ka:pit]	n.地毯
dog	[dɒg]	n.狗
customs		n.海关
officer	['ɒfisə]	n.官员
girl	[gз:l]	n.女孩，姑娘
Danish	['deiniʃ]	a. & n.丹麦人
friend	[frend]	n.朋友
Norwegian	[nɒ:'wi:dʒən]	a. & n.挪威人
passport	['pa:spɒ:t]	n.护照
brown	[braun]	a.棕色的
tourist	['tuərist]	n.旅游者
Russian	['rʌʃən]	a. & n.俄罗斯人
Dutch	['dʌtʃ]	a. & n.荷兰人
these	[θi:z]	pron.这些
red	[red]	a.红色的
grey	[grei]	a.灰色的
yellow	['jeləʊ]	a.黄色的
black	[blæk]	a.黑色的
orange	['ɒrindʒ]	a.橘黄色的；n.橙
employee	['emplɒi'i:]	n.雇员
hard-working		a.勤奋的
sales reps		推销员
man	[mæn]	n.男人
office	['ɒfis]	n.办公室
assistant	[ə'sistənt]	n.助手
matter	['mætə]	n.事情
children	['tʃildrən]	n.孩子们
tired	['taıəd]	a.累，疲乏
boy	[bɒi]	n.男孩
thirsty	['ðз:sti]	a.渴
Mum	[mʌm]	n.妈妈
sit down		坐下
right	[rait]	a.好，可以；正确的
ice cream		冰淇淋
big	[big]	a.大的
small	[smɒ:l]	a.小的
open	['əʊpən]	a.开着的
shut	[ʃʌt]	a.关着的
light	[lait]	a.轻的
heavy	['hevi]	a.重的
long	[lɒŋ]	a.长的
shoe	[ʃu:]	n.鞋子
grandfather	['grænd'fa:θə]	n.祖父，外祖父
grandmother	['grænd'mʌθə]	n.祖母，外祖母
give	[giv]	v.给
one	[wʌn]	pron.一个
which	['witʃ]	pron.哪一个
empty	['empti]	a.空的；
full	[ful]	a.满的
large	[la:dʒ]	a.大的
little	['litl]	a.小的
sharp	[ʃa:p]	a.尖的，锋利的
small	[smɒ:l]	a.小的
big	[big]	a.大的
blunt	[blʌnt]	a.钝的
box	[bɒks]	n.盒子，箱子
glass	[gla:s]	n.杯子
cup	[kʌp]	n.茶杯
bottle	['bɒtl]	n.瓶子
tin	[tin]	n.罐头
knife	[naif]	n.刀子
fork	[fɒ:k]	n.叉子
spoon	[spu:n]	n.勺子
on	[ɒn]	prep.在……之上
shelf	[ʃelf]	n.架子，搁板
desk	[desk]	n.课桌
table	['teibl]	n.桌子
plate	[pleit]	n.盘子
cupboard	['kʌbəd]	n.食橱
cigarette		n.香烟
television	['teli'viʒən]	n.电视机
floor	[flɒ:]	n.地板
dressing table		梳妆台
magazine	['mægə'zi:n]	n.杂志
bed	[bed]	n.床
newspaper	['nju:z'peipə]	n.报纸
stereo	['stıəriəʊ]	n.立体声音响
Mrs.	['misiz]	夫人
kitchen	['kitʃin]	n.厨房
refrigerator	[ri'fridʒəreitə]	n.电冰箱
right	[rait]	n.右边
electric	[i'lektrik]	a.带电的，可通电的
left	[left]	n.左边
cooker	['kukə]	n.炉子，炊具
middle	['midl]	n.中间
of	[ɒv, əv]	prep. (属于)……的
room	[ru:m, rum]	n.房间
cup	[kʌp]	n.杯子
where	[wAə]	ad.在哪里
in	[in]	prep.在……里
living room		客厅
near	[nıə]	prep.靠近
window	['windəʊ]	n.窗户
armchair	['a:m'tʃAə]	n.手扶椅
door	[dɒ:]	n.门
picture	['piktʃə]	n.图画
wall	[wɒ:l]	n.墙
trousers		n. (复数) 长裤
shut	[ʃʌt]	v.关
bedroom	['bedrum]	n.卧室
untidy	[ʌn'taidi]	a.乱，不整齐
must	[mʌst]	modal verb必须，应该
open	['əʊpən]	v.打开
air	[Aə]	v.使……通风，换换空气
put	[put]	v.放置
clothes	[kləʊθz]	n.衣服
wardrobe	['wɒ:drəʊb]	n.大衣柜
dust	[dʌst]	v.掸掉灰尘
sweep	[swi:p]	v.扫
empty	['empti]	v.倒空，使……变空
read	[ri:d]	v.读
sharpen	['ʃa:pən]	v.削尖，使锋利
put on		穿上
take off		脱掉
turn on		开(电灯)
turn off		关(电灯)
garden	['ga:dn]	n.花园
under	['ʌndə]	prep.在……之下
tree	[tri:]	n.树
climb	[klaim]	v.爬，攀登
who	[hu:]	pron.谁
run	[rʌn]	v.跑
grass	[gra:s]	n.草，草地
after	['a:ftə]	prep.在……之后
across	[ə'krɒs]	prep.横过，穿过
cat	[kæt]	n.猫
type	[taip]	v.打字
letter	['letə]	n.信
basket	['ba:skit]	n.篮子
eat	[i:t]	v.吃
bone	[bəʊn]	n.骨头
clean	[kli:n]	v.清洗
tooth	[tu:ð]	n.牙齿(复数teeth)
cook	[kuk]	v.做(饭菜)
milk	[milk]	n.牛奶
meal	[mi:l]	n.饭，一顿饭
drink	[drıŋk]	v.喝
tap	[tæp]	n. (水) 龙头
day	[dei]	n.日子
cloud	[klaud]	n.云
sky	[skai]	n.天空
sun	[sʌn]	n.太阳
shine	[ʃain]	v.照耀
with	[wiθ]	prep.和......在一起
family	['fæmili]	n.家庭(成员)
walk	[wɒ:k]	v.走路，步行
over	['əʊvə]	prep.跨越，在......之上
bridge	[bridʒ]	n.桥
boat	[bəʊt]	n.船
river	['rivə]	n.河
ship	[ʃip]	n.轮船
aeroplane	['Aərəplein]	n.飞机
fly	[flai]	v.飞
sleep	[sli:p]	v.睡觉
shave	[ʃeiv]	v.刮脸
cry	[krai]	v.哭，喊
wash	[wɒʃ]	v.洗
wait	[weit]	v.等
jump	[dʒʌmp]	v.跳
photograph	['fəʊtəgra:f]	n.照片
village	['vilidʒ]	n.村庄
valley	['væli]	n.山谷
between	[bi'twi:n]	prep.在......之间
hill	[hil]	n.小山
another	[ə'nʌθə]	另一个
wife	[waif]	n.妻子
along	[ə'lɒŋ]	prep.沿着
bank	[bæŋk]	n.河岸
water	['wɒ:tə]	n.水
swim	[swim]	v.游泳
building	['bildıŋ]	n.大楼，建筑物
park	[pa:k]	n.公园
into	['intu, 'intə]	prep.进入
